short_name,long_name,nationality,club
L. Messi,Lionel Andrés Messi Cuccittini,Argentina,FC Barcelona
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Portugal,Juventus
Neymar Jr,Neymar da Silva Santos Junior,Brazil,Paris Saint-Germain
J. Oblak,Jan Oblak,Slovenia,Atlético Madrid
E. Hazard,Eden Hazard,Belgium,Real Madrid
K. De Bruyne,Kevin De Bruyne,Belgium,Manchester City
M. ter Stegen,Marc-André ter Stegen,Germany,FC Barcelona
V. van Dijk,Virgil van Dijk,Netherlands,Liverpool
L. Modrić,Luka Modrić,Croatia,Real Madrid
M. Salah,Mohamed  Salah Ghaly,Egypt,Liverpool
K. Mbappé,Kylian Mbappé,France,Paris Saint-Germain
K. Koulibaly,Kalidou Koulibaly,Senegal,Napoli
H. Kane,Harry Kane,England,Tottenham Hotspur
Alisson,Alisson Ramses Becker,Brazil,Liverpool
De Gea,David De Gea Quintana,Spain,Manchester United
N. Kanté,N'Golo Kanté,France,Chelsea
G. Chiellini,Giorgio Chiellini,Italy,Juventus
S. Agüero,Sergio Leonel Agüero del Castillo,Argentina,Manchester City
Sergio Ramos,Sergio Ramos García,Spain,Real Madrid
L. Suárez,Luis Alberto Suárez Díaz,Uruguay,FC Barcelona
R. Lewandowski,Robert Lewandowski,Poland,FC Bayern München
Sergio Busquets,Sergio Busquets i Burgos,Spain,FC Barcelona
A. Griezmann,Antoine Griezmann,France,FC Barcelona
P. Dybala,Paulo Bruno Exequiel Dybala,Argentina,Juventus
P. Pogba,Paul Pogba,France,Manchester United
Ederson,Ederson Santana de Moraes,Brazil,Manchester City
R. Sterling,Raheem Sterling,England,Manchester City
C. Eriksen,Christian  Dannemann Eriksen,Denmark,Tottenham Hotspur
T. Courtois,Thibaut Courtois,Belgium,Real Madrid
Piqué,Gerard Piqué Bernabéu,Spain,FC Barcelona
S. Handanovič,Samir Handanovič,Slovenia,Inter
M. Neuer,Manuel Neuer,Germany,FC Bayern München
H. Lloris,Hugo Lloris,France,Tottenham Hotspur
David Silva,David Josué Jiménez Silva,Spain,Manchester City
E. Cavani,Edinson Roberto Cavani Gómez,Uruguay,Paris Saint-Germain
D. Godín,Diego Godín,Uruguay,Inter
